run_id,sample_id,model_alias,version,ensemble_status,selected_judges,final_score_rate,final_risk_level,final_data_route,requires_arbitration,requires_human_calibration,disagreement_reasons
RUN-LPB-NORMAL-001-qianfan_ernie_51-V0,LPB-NORMAL-001,qianfan_ernie_51,V0,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.32,high,human_review,False,True,arbiter_self_eval_blocked
RUN-LPB-NORMAL-001-qianfan_ernie_51-V1,LPB-NORMAL-001,qianfan_ernie_51,V1,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.68,medium,preference,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-001-qianfan_ernie_51-V4,LPB-NORMAL-001,qianfan_ernie_51,V4,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",1.0,low,eval,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-001-qianfan_ernie_51-V3,LPB-NORMAL-001,qianfan_ernie_51,V3,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.8,low,sft,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-001-qianfan_ernie_51-V5,LPB-NORMAL-001,qianfan_ernie_51,V5,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.76,low,eval,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V0,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V0,arbitrated,"[""judge_ernie_51""]",0.32,high,human_review,True,True,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V1,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V1,arbitrated,"[""judge_ernie_51""]",0.68,medium,preference,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V4,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V4,arbitrated,"[""judge_ernie_51""]",1.0,low,eval,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V3,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V3,arbitrated,"[""judge_ernie_51""]",0.8,low,sft,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V5,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V5,arbitrated,"[""judge_ernie_51""]",0.76,low,eval,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V0,LPB-NORMAL-001,qianfan_qwen35_27b,V0,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.32,high,human_review,False,True,
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V1,LPB-NORMAL-001,qianfan_qwen35_27b,V1,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.68,medium,preference,False,False,
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V4,LPB-NORMAL-001,qianfan_qwen35_27b,V4,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",1.0,low,eval,False,False,
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V3,LPB-NORMAL-001,qianfan_qwen35_27b,V3,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.8,low,sft,False,False,
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V5,LPB-NORMAL-001,qianfan_qwen35_27b,V5,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.76,low,eval,False,False,
RUN-LPB-NORMAL-001-qianfan_glm_52-V0,LPB-NORMAL-001,qianfan_glm_52,V0,arbitrated,"[""judge_ernie_51""]",0.32,high,human_review,True,True,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_glm_52-V1,LPB-NORMAL-001,qianfan_glm_52,V1,arbitrated,"[""judge_ernie_51""]",0.68,medium,preference,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_glm_52-V4,LPB-NORMAL-001,qianfan_glm_52,V4,arbitrated,"[""judge_ernie_51""]",1.0,low,eval,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_glm_52-V3,LPB-NORMAL-001,qianfan_glm_52,V3,arbitrated,"[""judge_ernie_51""]",0.8,low,sft,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_glm_52-V5,LPB-NORMAL-001,qianfan_glm_52,V5,arbitrated,"[""judge_ernie_51""]",0.76,low,eval,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V0,LPB-NORMAL-001,qianfan_lite_baseline,V0,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.32,high,human_review,False,True,
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V1,LPB-NORMAL-001,qianfan_lite_baseline,V1,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.68,medium,preference,False,False,
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V4,LPB-NORMAL-001,qianfan_lite_baseline,V4,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",1.0,low,eval,False,False,
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V3,LPB-NORMAL-001,qianfan_lite_baseline,V3,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.8,low,sft,False,False,
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V5,LPB-NORMAL-001,qianfan_lite_baseline,V5,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.76,low,eval,False,False,
RUN-LPB-NORMAL-002-qianfan_ernie_51-V0,LPB-NORMAL-002,qianfan_ernie_51,V0,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.2,high,human_review,False,True,arbiter_self_eval_blocked
RUN-LPB-NORMAL-002-qianfan_ernie_51-V1,LPB-NORMAL-002,qianfan_ernie_51,V1,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.72,low,sft,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-002-qianfan_ernie_51-V4,LPB-NORMAL-002,qianfan_ernie_51,V4,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.92,low,eval,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-002-qianfan_ernie_51-V3,LPB-NORMAL-002,qianfan_ernie_51,V3,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.84,low,sft,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-002-qianfan_ernie_51-V5,LPB-NORMAL-002,qianfan_ernie_51,V5,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.92,low,eval,False,False,arbiter_self_eval_blocked
RUN-LPB-NORMAL-002-qianfan_deepseek_v4_pro-V0,LPB-NORMAL-002,qianfan_deepseek_v4_pro,V0,arbitrated,"[""judge_ernie_51""]",0.2,high,human_review,True,True,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-002-qianfan_deepseek_v4_pro-V1,LPB-NORMAL-002,qianfan_deepseek_v4_pro,V1,arbitrated,"[""judge_ernie_51""]",0.72,low,sft,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-002-qianfan_deepseek_v4_pro-V4,LPB-NORMAL-002,qianfan_deepseek_v4_pro,V4,arbitrated,"[""judge_ernie_51""]",0.92,low,eval,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-002-qianfan_deepseek_v4_pro-V3,LPB-NORMAL-002,qianfan_deepseek_v4_pro,V3,arbitrated,"[""judge_ernie_51""]",0.84,low,sft,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-002-qianfan_deepseek_v4_pro-V5,LPB-NORMAL-002,qianfan_deepseek_v4_pro,V5,arbitrated,"[""judge_ernie_51""]",0.92,low,eval,True,False,single_primary_after_self_eval_exclusion
RUN-LPB-NORMAL-002-qianfan_qwen35_27b-V0,LPB-NORMAL-002,qianfan_qwen35_27b,V0,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.2,high,human_review,False,True,
RUN-LPB-NORMAL-002-qianfan_qwen35_27b-V1,LPB-NORMAL-002,qianfan_qwen35_27b,V1,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.72,low,sft,False,False,
RUN-LPB-NORMAL-002-qianfan_qwen35_27b-V4,LPB-NORMAL-002,qianfan_qwen35_27b,V4,stable,"[""judge_deepseek_v4_pro"", ""judge_glm_52""]",0.92,low,eval,False,False,
