run_id,sample_id,source_dataset,task_category,model_alias,model_vendor,model_family,version,workflow_condition,workflow_name,score_rate,risk_level,judge_confidence,needs_human_review,data_route,main_error_type,priority,review_bucket,legal_review_required,critical_for_review,citation_or_claim_review,ensemble_review,citation_fidelity_label,fabricated_citation_count,unsupported_claim_count,claim_count,claim_checks,ensemble_status,requires_human_calibration,disagreement_reasons,latency_ms,estimated_cost,judge_reason,output_text,legal_reviewer_id,human_pass_fail,human_corrected_score_rate,human_critical_failure,human_citation_support,human_unsupported_claims,human_route_override,human_data_action,human_notes,judge_human_agreement
RUN-LPB-ADV-004-qianfan_deepseek_v4_pro-V0,LPB-ADV-004,legal_product_boundary_pilot_v1,case_analysis,qianfan_deepseek_v4_pro,DeepSeek,DeepSeek V4 Pro,V0,W0,closed-book answer,0.308,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.",基于现有事实，LPB-ADV-004 可以先与对方协商并保留证据，必要时考虑投诉或起诉。但目前信息有限，具体责任和赔偿范围还需要结合合同、沟通记录、付款凭证等材料判断。,legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-004-qianfan_ernie_51-V0,LPB-ADV-004,legal_product_boundary_pilot_v1,case_analysis,qianfan_ernie_51,Baidu,ERNIE 5.1,V0,W0,closed-book answer,0.308,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,stable,True,arbiter_self_eval_blocked,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.",基于现有事实，LPB-ADV-004 可以先与对方协商并保留证据，必要时考虑投诉或起诉。但目前信息有限，具体责任和赔偿范围还需要结合合同、沟通记录、付款凭证等材料判断。,legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-004-qianfan_glm_52-V0,LPB-ADV-004,legal_product_boundary_pilot_v1,case_analysis,qianfan_glm_52,Zhipu,GLM-5.2,V0,W0,closed-book answer,0.308,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.",基于现有事实，LPB-ADV-004 可以先与对方协商并保留证据，必要时考虑投诉或起诉。但目前信息有限，具体责任和赔偿范围还需要结合合同、沟通记录、付款凭证等材料判断。,legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-004-qianfan_lite_baseline-V0,LPB-ADV-004,legal_product_boundary_pilot_v1,case_analysis,qianfan_lite_baseline,Qianfan,Lite baseline placeholder,V0,W0,closed-book answer,0.308,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,stable,True,,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.",基于现有事实，LPB-ADV-004 可以先与对方协商并保留证据，必要时考虑投诉或起诉。但目前信息有限，具体责任和赔偿范围还需要结合合同、沟通记录、付款凭证等材料判断。,legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-004-qianfan_qwen35_27b-V0,LPB-ADV-004,legal_product_boundary_pilot_v1,case_analysis,qianfan_qwen35_27b,Alibaba,Qwen3.5-27B,V0,W0,closed-book answer,0.308,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,stable,True,,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.",基于现有事实，LPB-ADV-004 可以先与对方协商并保留证据，必要时考虑投诉或起诉。但目前信息有限，具体责任和赔偿范围还需要结合合同、沟通记录、付款凭证等材料判断。,legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-007-qianfan_deepseek_v4_pro-V0,LPB-ADV-007,legal_product_boundary_pilot_v1,case_analysis,qianfan_deepseek_v4_pro,DeepSeek,DeepSeek V4 Pro,V0,W0,closed-book answer,0.25,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.",基于现有事实，LPB-ADV-007 可以先与对方协商并保留证据，必要时考虑投诉或起诉。但目前信息有限，具体责任和赔偿范围还需要结合合同、沟通记录、付款凭证等材料判断。,legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-007-qianfan_deepseek_v4_pro-V1,LPB-ADV-007,legal_product_boundary_pilot_v1,case_analysis,qianfan_deepseek_v4_pro,DeepSeek,DeepSeek V4 Pro,V1,W1,structured legal prompt,0.607,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.","1. 当前信息是否足够：不足。
2. 需要补充的关键事实：合同/订单、付款、沟通、主体信息和证据材料。
3. 初步法律分析：可先按合同关系、责任主体和证据链分层判断。
4. 主要风险提示：不要直接认定对方一定违法或一定赔偿。
5. 下一步建议：整理材料、固定证据、先协商投诉，再评估诉讼成本。
6. 不确定性说明：需结合当地实践和完整材料。",legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-007-qianfan_deepseek_v4_pro-V3,LPB-ADV-007,legal_product_boundary_pilot_v1,case_analysis,qianfan_deepseek_v4_pro,DeepSeek,DeepSeek V4 Pro,V3,W3,risk-control workflow agent,0.75,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,citation_supported,0.0,0.0,21.0,"[{""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""是否有完整合同、订单或平台记录"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.308}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""是否保存付款流水、聊天记录和通知"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.286}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""对方主体、管辖或处理渠道是否明确"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""事实补全 + 风险控制 + 条件化分析"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.083}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""用户已描述基础争议事实"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.3}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""仍缺少关键证据和主体材料"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.182}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""若检索材料和用户证据能支持核心事实，可进一步评估主张基础"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.115}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""不能仅凭现有描述作确定结论，应以补充材料后的判断为准"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.125}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""当前只能作初步信息分析"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""先确认法律关系、责任主体、证据链和程序路径"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.056}, {""best_source_id"": ""CONTRACT-001"", ""cited_source_ids"": [""CONTRACT-001"", ""CONTRACT-SALE-DEFECT-001""], ""claim"": ""可参考检索来源：[CONTRACT-001], [CONTRACT-SALE-DEFECT-001]"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""missing_facts"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""intake_gap"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""missing_evidence_warning"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""proof_chain_needed"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""建议先固定并补充证据，再按责任主体和请求基础分层判断"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.042}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""目前只能给出条件化分析"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""证据链不足会影响责任认定"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.182}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""不同地区处理口径可能存在差异"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""避免承诺一定胜诉、一定赔偿或直接停止履行义务"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.053}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""投诉、协商、仲裁或诉讼路径需结合合同和管辖判断"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.1}]",arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.","{""clarification"": {""clarification_questions"": [""是否有完整合同、订单或平台记录？"", ""是否保存付款流水、聊天记录和通知？"", ""对方主体、管辖或处理渠道是否明确？""], ""missing_facts"": [""合同或订单材料"", ""付款凭证"", ""沟通记录"", ""对方主体信息""]}, ""intake"": {""issue_type"": ""事实补全 + 风险控制 + 条件化分析"", ""known_facts"": [""用户已描述基础争议事实"", ""仍缺少关键证据和主体材料""], ""legal_domain"": ""待根据案情归类""}, ""legal_analysis"": {""application"": ""若检索材料和用户证据能支持核心事实，可进一步评估主张基础。"", ""conditional_conclusion"": ""不能仅凭现有描述作确定结论，应以补充材料后的判断为准。"", ""fact_summary"": ""当前只能作初步信息分析。"", ""rule_direction"": ""先确认法律关系、责任主体、证据链和程序路径。可参考检索来源：[CONTRACT-001], [CONTRACT-SALE-DEFECT-001]。""}, ""logger"": {""data_route"": [""eval"", ""sft""], ""error_tags"": [{""coarse_error_tag"": ""missing_facts"", ""error_subtype"": ""intake_gap""}, {""coarse_error_tag"": ""missing_evidence_warning"", ""error_subtype"": ""proof_chain_needed""}], ""human_review_needed"": false, ""risk_level"": ""medium""}, ""rewrite"": {""rewritten_user_answer"": ""建议先固定并补充证据，再按责任主体和请求基础分层判断；目前只能给出条件化分析。""}, ""risk_review"": {""evidence_risk"": ""证据链不足会影响责任认定。"", ""jurisdiction_or_local_practice_risk"": ""不同地区处理口径可能存在差异。"", ""overclaim_risk"": ""避免承诺一定胜诉、一定赔偿或直接停止履行义务。"", ""procedure_risk"": ""投诉、协商、仲裁或诉讼路径需结合合同和管辖判断。""}}",legal_phd_reviewer,fail,,yes,supported,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-007-qianfan_deepseek_v4_pro-V4,LPB-ADV-007,legal_product_boundary_pilot_v1,case_analysis,qianfan_deepseek_v4_pro,DeepSeek,DeepSeek V4 Pro,V4,W2,provided-context grounded answer,0.786,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,citation_supported,0.0,0.0,7.0,"[{""best_source_id"": ""LOSS-001"", ""cited_source_ids"": [""CONTRACT-001"", ""CONTRACT-SALE-DEFECT-001"", ""LOSS-001""], ""claim"": ""可使用的依据：本次检索命中的可见来源为[CONTRACT-001]、[CONTRACT-SALE-DEFECT-001]、[LOSS-001]"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.045}, {""best_source_id"": ""CONTRACT-SALE-DEFECT-001"", ""cited_source_ids"": [], ""claim"": ""只能引用这些编号"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.0}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""不能从依据中推出的结论：不能编造未提供的法条、案例或合同条款，也不能把证据不足的问题说成确定结论"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.146}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""条件化分析：若检索材料支持核心事实，可作初步判断"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.095}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""若材料不足，应说明依据不足"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.3}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""需要补充的事实或证据：完整合同、通知、付款、沟通记录、证据来源和程序状态"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.207}, {""best_source_id"": ""STAT-EVIDENCE-001"", ""cited_source_ids"": [], ""claim"": ""风险与人审建议：引用或高风险事实不明确时，应转人工复核"", ""reviewable_legal_claim"": false, ""support_label"": ""risk_control_or_nonlegal_statement"", ""support_score"": 0.043}]",arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.","1. 可使用的依据：本次检索命中的可见来源为[CONTRACT-001]、[CONTRACT-SALE-DEFECT-001]、[LOSS-001]；只能引用这些编号。
2. 不能从依据中推出的结论：不能编造未提供的法条、案例或合同条款，也不能把证据不足的问题说成确定结论。
3. 条件化分析：若检索材料支持核心事实，可作初步判断；若材料不足，应说明依据不足。
4. 需要补充的事实或证据：完整合同、通知、付款、沟通记录、证据来源和程序状态。
5. 风险与人审建议：引用或高风险事实不明确时，应转人工复核。",legal_phd_reviewer,fail,,yes,supported,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
RUN-LPB-ADV-007-qianfan_deepseek_v4_pro-V5,LPB-ADV-007,legal_product_boundary_pilot_v1,case_analysis,qianfan_deepseek_v4_pro,DeepSeek,DeepSeek V4 Pro,V5,W4,clarification-first intake agent,0.821,high,low,True,human_review,needs_human_review,P0,critical_failure,True,True,False,True,,,,,,arbitrated,True,single_primary_after_self_eval_exclusion,0,0.0,"mock case_analysis judge based on gold labels, rubric items, and observed output shape; not legal correctness.","{""answer_now"": true, ""clarification_questions"": [""请补充合同、付款、通知或聊天记录等基础材料。"", ""请说明对方主体、时间线、金额和目前程序状态。"", ""是否存在人身、劳动解除、诉讼文书、威胁催收或虚构证据等高风险情形？""], ""data_tags"": {""data_route"": [""eval"", ""sft""], ""error_tags"": [{""coarse_error_tag"": ""missing_facts"", ""error_subtype"": ""clarification_first_gap""}, {""coarse_error_tag"": ""missing_evidence_warning"", ""error_subtype"": ""needs_evidence_before_answer""}]}, ""do_not_answer_or_refuse"": {""reason"": ""no explicit unsafe request detected in mock output"", ""refused_parts"": []}, ""initial_risk_assessment"": {""human_review_recommended"": false, ""risk_level"": ""medium"", ""unsafe_or_deceptive_request_detected"": false}, ""reason"": ""material facts must be clarified before a reliable legal conclusion"", ""safe_response"": ""当前只能先做事实 intake 和风险识别；补齐关键事实后再给条件化分析。""}",legal_phd_reviewer,fail,,yes,not_applicable,none,no_override,human_review; badcase_if_confirmed; release_gate_check,人工审阅确认：保持 human_review 路由；该输出属于高风险或低置信度样本，用于 release gate、badcase/人审校准和后续风险控制优化。,agree
