source_id,title,source_type,jurisdiction,effective_date,source_url,tags,text,provenance_status,document_identifier,source_version,retrieved_at,content_sha256,license_or_origin,publishable_as_authoritative_source
STAT-CIVIL-CONTRACT-001,民法典合同履行与违约责任规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,合同 违约 迟延履行 解除 赔偿,合同争议通常需先核验合同成立、履行期限、违约事实、催告情况、合同目的是否受影响以及损失证据；迟延履行不当然等于可以解除并退全款。,summary_requires_primary_source_verification,,pilot_v1,,af1b3f4461e14a7d0230fe1066fc66dae1ad55f1858de13817f35092714f99ac,official-portal reference; exact document and reuse terms not recorded,False
STAT-CIVIL-DEPOSIT-001,民法典定金与违约金规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,定金 订金 违约金 损失 调整,定金、订金和违约金需要区分；写明定金且合同成立时可能适用定金罚则，违约金是否过高需结合实际损失和履行情况判断。,summary_requires_primary_source_verification,,pilot_v1,,db84abcb575f2d79dafaaac3f88267c33499a340b15f8b2f43d2aaf324162817,official-portal reference; exact document and reuse terms not recorded,False
STAT-CIVIL-LOAN-001,民法典民间借贷证据规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,民间借贷 转账 借条 微信 还款承诺,民间借贷需要证明借款合意和款项交付；转账记录、聊天承诺、备注、催收记录和身份信息共同影响能否按借款关系主张权利。,summary_requires_primary_source_verification,,pilot_v1,,a60252b5a0b85f675aff088abe5d1d46044e8c7208d7df176e0bcba77779d582,official-portal reference; exact document and reuse terms not recorded,False
STAT-CIVIL-LEASE-001,民法典租赁押金与损耗规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,租赁 押金 正常损耗 维修 退租,租赁押金扣除通常需要结合合同约定、交接验收、照片对比、是否正常损耗、维修报价和实际损失，不能仅凭一方说法确定。,summary_requires_primary_source_verification,,pilot_v1,,7e307baf5239277d7acb99c976295188b9dd55db8adb188a42fc820d4a5e2929,official-portal reference; exact document and reuse terms not recorded,False
STAT-CONSUMER-001,消费者权益保护和商品质量规则摘要,statute_summary,CN,2014-03-15,https://flk.npc.gov.cn/,消费者 商品质量 七日无理由 退换货 欺诈,消费者维权需区分七日无理由、质量瑕疵、售后承诺和欺诈；是否退换货或赔偿取决于购买时间、商品性质、检测结论和经营者承诺。,summary_requires_primary_source_verification,,pilot_v1,,5bd7955a5c79741742cabd7a2ef7d961e7e49e78c970ace344d70b7dd4daf3ab,official-portal reference; exact document and reuse terms not recorded,False
STAT-LABOR-CONTRACT-001,劳动合同解除与用工管理规则摘要,statute_summary,CN,2008-01-01,https://flk.npc.gov.cn/,劳动合同 解除 调岗 降薪 规章制度 工会,劳动合同解除、调岗降薪和违纪处理需核验合同岗位、规章制度、公示告知、书面通知、协商过程、工会或申辩程序以及证据材料。,summary_requires_primary_source_verification,,pilot_v1,,d784c00281936ed62682b21d4549f4c7be374258b1b2cfe6dd20c892e1d5836c,official-portal reference; exact document and reuse terms not recorded,False
STAT-LABOR-RELATION-001,劳动关系认定规则摘要,statute_summary,CN,2008-01-01,https://flk.npc.gov.cn/,劳动关系 平台用工 从属性 考勤 固定工资,劳动关系不能只看协议名称；需综合管理控制、考勤排班、报酬方式、工作工具、是否可自主接单和实际履行从属性。,summary_requires_primary_source_verification,,pilot_v1,,60b02ebef7b776242b8715558e8077c4cae375dcf55adafb29304d418572aad5,official-portal reference; exact document and reuse terms not recorded,False
STAT-EVIDENCE-001,民事证据与事实主张规则摘要,statute_summary,CN,2024-01-01,https://flk.npc.gov.cn/,证据 举证 聊天记录 转账 合同 电子证据,民事争议中聊天记录、转账凭证、合同、订单、通知和验收材料都需要能对应争议事实；证据不足时不应给确定性结论。,summary_requires_primary_source_verification,,pilot_v1,,2f2bde018c6bb6c1a027e3a5c048011a7cb74405c19e11c54115f9bf03c87eac,official-portal reference; exact document and reuse terms not recorded,False
STAT-PROCEDURE-001,民事诉讼准备与管辖规则摘要,statute_summary,CN,2024-01-01,https://flk.npc.gov.cn/,起诉 管辖 主体 材料 诉讼成本,起诉准备通常需要明确被告身份、请求基础、证据目录、管辖连接点和诉讼成本；事实或主体不明时应先补齐材料。,summary_requires_primary_source_verification,,pilot_v1,,f16d0625f6f05429a5ad365f3463f6a861ae3da91003b9cef327547942fc9343,official-portal reference; exact document and reuse terms not recorded,False
STAT-IP-PLATFORM-001,网络平台通知处理与损失证明规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,平台 侵权通知 下架 转送 损失证明,网络平台收到有效侵权通知后的处理及时性、是否知道重复侵权、通知内容是否合格和损失证明，会影响责任判断；不能仅凭通知断言平台全责。,summary_requires_primary_source_verification,,pilot_v1,,98780d236a1ae78b1c99b6b8f1615950eb5907de39f47962eee0c32d0cfa0bdc,official-portal reference; exact document and reuse terms not recorded,False
STAT-CIVIL-FORM-CONTRACT-001,格式条款提示说明规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,格式条款 提示说明 退费 免责 培训合同,涉及退费、免责或限制主要权利的格式条款，应关注经营者是否以合理方式提示并说明；不能仅凭合同写有不退费就直接排除消费者请求。,summary_requires_primary_source_verification,,pilot_v1,,c80312c0d5ddebe598de6ab248c55081b1b7d00664519533dd67be092a302462,official-portal reference; exact document and reuse terms not recorded,False
STAT-CIVIL-TORT-001,侵权责任与损害证明规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,侵权 损害 因果关系 名誉权 医疗损害,侵权责任通常需要核验行为、过错、损害、因果关系和证明材料；涉及人身损害、名誉侵权或专业鉴定时应谨慎并建议人工复核。,summary_requires_primary_source_verification,,pilot_v1,,58115692f8f80309b50ee8ae9f05130b579c8f41001011e3d59b85cb9c998a84,official-portal reference; exact document and reuse terms not recorded,False
STAT-CIVIL-GUARANTEE-001,保证责任识别规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,保证 担保 借款 连带 一般保证 签字,保证责任需要有明确担保意思表示、担保范围、方式和期间；仅有介绍借款或见证签字，不当然构成担保。,summary_requires_primary_source_verification,,pilot_v1,,d5821ed37d094f62cccc873621d265ea3d0f10e1ec0c43ed6874b555274dc4cf,official-portal reference; exact document and reuse terms not recorded,False
STAT-COMPANY-LIQUIDATION-001,公司清算与债权人保护规则摘要,statute_summary,CN,2024-07-01,https://flk.npc.gov.cn/,公司 注销 清算 债权人 股东 责任,公司注销、清算通知、资产处置和股东责任需要结合清算程序、债权申报、出资和恶意处置资产证据判断。,summary_requires_primary_source_verification,,pilot_v1,,b7801e5cc3f957f06acb521805b0badfba86e33ff318e641aaed0f56cc51156b,official-portal reference; exact document and reuse terms not recorded,False
STAT-PERSONALINFO-001,个人信息处理与数据合规规则摘要,statute_summary,CN,2021-11-01,https://flk.npc.gov.cn/,个人信息 隐私 数据 删除 同意 平台,个人信息处理需关注告知同意、处理目的、必要性、删除更正请求和敏感信息；平台拒绝删除或超范围使用时需核验证据和规则。,summary_requires_primary_source_verification,,pilot_v1,,37d0bac8badc44389d07623fae104128aa7153ba22c24be7f0b44ae933a6c41a,official-portal reference; exact document and reuse terms not recorded,False
STAT-MARRIAGE-PROPERTY-001,夫妻共同债务识别规则摘要,statute_summary,CN,2021-01-01,https://flk.npc.gov.cn/,夫妻共同债务 借款 家庭共同生活 签字 追认,夫妻一方举债是否属于共同债务，需要看共同签字、事后追认、是否用于家庭共同生活或共同生产经营。,summary_requires_primary_source_verification,,pilot_v1,,3a72a2fe747ca6de23816165861bda5e62a5ca8150a0a2c63339f9b7ca5c656f,official-portal reference; exact document and reuse terms not recorded,False
