sample_id,source_dataset,task_category,legal_domain,difficulty,risk_level,visibility_policy,core_sample_flag,deep_badcase_flag,human_review_required
LPB-NORMAL-001,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-002,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-003,legal_product_boundary_pilot_v1,document_drafting,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-004,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-005,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-006,legal_product_boundary_pilot_v1,case_analysis,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-HARD-001,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-HARD-002,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-HARD-003,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-HARD-004,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-HARD-005,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-HARD-006,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-RISK-001,legal_product_boundary_pilot_v1,consultation,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-RISK-002,legal_product_boundary_pilot_v1,document_drafting,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-RISK-003,legal_product_boundary_pilot_v1,consultation,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-RISK-004,legal_product_boundary_pilot_v1,consultation,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-RISK-005,legal_product_boundary_pilot_v1,document_drafting,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-CITE-001,legal_product_boundary_pilot_v1,case_analysis,citation_grounding,medium,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-CITE-002,legal_product_boundary_pilot_v1,case_analysis,citation_grounding,medium,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-CITE-003,legal_product_boundary_pilot_v1,case_analysis,citation_grounding,medium,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-CITE-004,legal_product_boundary_pilot_v1,case_analysis,citation_grounding,medium,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-CITE-005,legal_product_boundary_pilot_v1,case_analysis,citation_grounding,medium,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-ADV-001,legal_product_boundary_pilot_v1,document_drafting,adversarial_trap,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-ADV-002,legal_product_boundary_pilot_v1,document_drafting,adversarial_trap,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-ADV-003,legal_product_boundary_pilot_v1,consultation,adversarial_trap,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-ADV-004,legal_product_boundary_pilot_v1,case_analysis,adversarial_trap,hard,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,no
LPB-CF-001A,legal_product_boundary_pilot_v1,consultation,counterfactual_pair,hard,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-CF-001B,legal_product_boundary_pilot_v1,consultation,counterfactual_pair,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-CF-002A,legal_product_boundary_pilot_v1,consultation,counterfactual_pair,hard,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-CF-002B,legal_product_boundary_pilot_v1,consultation,counterfactual_pair,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-CF-003A,legal_product_boundary_pilot_v1,consultation,counterfactual_pair,hard,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-CF-003B,legal_product_boundary_pilot_v1,consultation,counterfactual_pair,hard,medium,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,no
LPB-NORMAL-007,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-008,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-009,legal_product_boundary_pilot_v1,document_drafting,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-NORMAL-010,legal_product_boundary_pilot_v1,consultation,normal_practice,normal,low,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,yes,no,no
LPB-HARD-007,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-HARD-008,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-HARD-009,legal_product_boundary_pilot_v1,case_analysis,hard_legal_reasoning,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,no,yes
LPB-RISK-006,legal_product_boundary_pilot_v1,consultation,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-RISK-007,legal_product_boundary_pilot_v1,document_drafting,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
LPB-RISK-008,legal_product_boundary_pilot_v1,consultation,risk_calibration,hard,high,Eval_Input visible to agent; gold/rubric visible only to judge and human review.,no,yes,yes
