sample_id,source_dataset,task_category,rubric_id,rubric_dimension,atomic_rubric_item,max_score,scoring_rule_2,scoring_rule_1,scoring_rule_0,criticality,negative_rule
LPB-NORMAL-001,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-001-R01,legal_issue_spotting,识别质量瑕疵、售后责任和平台投诉路径。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-001,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-001-R02,material_fact_sensitivity,指出购买时间、检测结论、售后规则等事实缺口。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-001,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-001-R03,risk_calibration,避免承诺必然退货或赔偿，给出条件化路径。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,high,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-001,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-001-R04,product_usability,给出证据固定、协商、平台投诉和后续评估步骤。,1,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-002,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-002-R01,legal_issue_spotting,识别押金返还、租赁物损耗和举证问题。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-002,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-002-R02,material_fact_sensitivity,追问验收、照片、报价、合同条款等关键事实。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-002,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-002-R03,risk_calibration,提示扣款是否合理取决于实际损坏和证据。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,high,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-002,legal_product_boundary_pilot_v1,consultation,LPB-NORMAL-002-R04,product_usability,给出可执行沟通和证据清单。,1,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-003,legal_product_boundary_pilot_v1,document_drafting,LPB-NORMAL-003-R01,legal_issue_spotting,识别服务合同尾款催收和验收争议风险。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
LPB-NORMAL-003,legal_product_boundary_pilot_v1,document_drafting,LPB-NORMAL-003-R02,material_fact_sensitivity,列出金额、主体、付款节点、验收材料等待补项。,2,完整满足：明确覆盖评分点，并结合用户事实、提供材料或产品边界要求作答。,部分满足：提到相关方向，但遗漏关键事实、引用边界、风险提示或路由判断。,未满足/错误：未覆盖评分点，或给出相反、武断、不可复核的判断。,medium,不得编造事实、伪造引用、忽略材料限制、给出过度确定结论或漏转人工。
