run_id,sample_id,model_alias,version,workflow_condition,retrieved_source_ids,retrieval_scores,expected_source_ids,expected_source_hit_count,context_recall,context_precision,retrieval_status
RUN-LPB-NORMAL-001-qianfan_ernie_51-V4,LPB-NORMAL-001,qianfan_ernie_51,V4,W2,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_ernie_51-V3,LPB-NORMAL-001,qianfan_ernie_51,V3,W3,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V4,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V4,W2,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_deepseek_v4_pro-V3,LPB-NORMAL-001,qianfan_deepseek_v4_pro,V3,W3,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V4,LPB-NORMAL-001,qianfan_qwen35_27b,V4,W2,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_qwen35_27b-V3,LPB-NORMAL-001,qianfan_qwen35_27b,V3,W3,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_glm_52-V4,LPB-NORMAL-001,qianfan_glm_52,V4,W2,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_glm_52-V3,LPB-NORMAL-001,qianfan_glm_52,V3,W3,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V4,LPB-NORMAL-001,qianfan_lite_baseline,V4,W2,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
RUN-LPB-NORMAL-001-qianfan_lite_baseline-V3,LPB-NORMAL-001,qianfan_lite_baseline,V3,W3,"[""STAT-EVIDENCE-001"", ""ORDER-001"", ""NOTICE-001"", ""STAT-CONSUMER-001""]","{""NOTICE-001"": 32.383138, ""ORDER-001"": 38.407297, ""STAT-CONSUMER-001"": 31.098141, ""STAT-EVIDENCE-001"": 49.195519}",[],0,,,hit
