run_id,sample_id,model_alias,version,workflow_condition,score_rate,needs_human_review,citation_fidelity_label,claim_rows,reviewable_claim_count,reviewable_strict_citation_defect_count,reviewable_claim_needs_review_count,all_claim_source_boundary_blocker_count,all_claim_source_boundary_blocker_rate,claim_no_citation_count,claim_out_of_scope_source_count,claim_fabricated_citation_count,claim_contradicted_count,output_character_count,output_sha256_12,redaction_note
RUN-LPB-CITE-006-qianfan_ernie_50-V4,LPB-CITE-006,qianfan_ernie_50,V4,W2,0.6,True,unsupported_claim,44,23,16,20,8,0.1818,11,8,0,0,1963,31877ba3178e,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-001-qianfan_ernie_50-V4,LPB-CITE-001,qianfan_ernie_50,V4,W2,0.6,True,unsupported_claim,39,18,17,18,7,0.1795,12,7,0,0,1562,d7104d7f3e4c,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-008-qianfan_ernie_50-V4,LPB-CITE-008,qianfan_ernie_50,V4,W2,0.692,True,unsupported_claim,42,22,19,21,6,0.1429,15,6,0,0,1764,f62809ab2fdf,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-004-qianfan_ernie_50-V4,LPB-CITE-004,qianfan_ernie_50,V4,W2,0.72,True,unsupported_claim,39,12,10,12,5,0.1282,6,5,0,0,1551,86dd7b49a6e1,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-001-qianfan_qwen35_27b-V4,LPB-CITE-001,qianfan_qwen35_27b,V4,W2,0.6,True,unsupported_claim,27,11,11,11,5,0.1852,6,5,0,0,1209,19eed7fd543e,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-002-qianfan_ernie_50-V4,LPB-CITE-002,qianfan_ernie_50,V4,W2,0.577,True,unsupported_claim,36,12,10,10,5,0.1389,9,5,0,0,1505,7a322d9c0b58,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-008-qianfan_qwen35_27b-V4,LPB-CITE-008,qianfan_qwen35_27b,V4,W2,0.808,True,unsupported_claim,27,16,14,15,4,0.1481,11,4,0,0,1400,ef539f1c1bd4,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-005-qianfan_ernie_50-V4,LPB-CITE-005,qianfan_ernie_50,V4,W2,0.692,True,unsupported_claim,38,13,13,13,4,0.1053,10,4,0,0,1609,7903ad7caaaf,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-007-qianfan_ernie_50-V4,LPB-CITE-007,qianfan_ernie_50,V4,W2,0.72,True,unsupported_claim,44,11,10,10,4,0.0909,8,4,0,0,1654,3a3bc64922d5,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-005-qianfan_qwen35_27b-V4,LPB-CITE-005,qianfan_qwen35_27b,V4,W2,0.654,True,unsupported_claim,28,8,6,8,4,0.1429,4,4,0,0,1480,2f255b2da24c,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-001-qianfan_deepseek_v4_pro-V4,LPB-CITE-001,qianfan_deepseek_v4_pro,V4,W2,0.6,True,unsupported_claim,20,10,8,9,3,0.15,5,3,0,0,935,569e9cf57b87,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-004-qianfan_qwen35_27b-V4,LPB-CITE-004,qianfan_qwen35_27b,V4,W2,0.68,True,unsupported_claim,25,6,5,5,3,0.12,3,3,0,0,1283,215e3cf304d6,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-003-qianfan_ernie_50-V4,LPB-CITE-003,qianfan_ernie_50,V4,W2,0.808,True,unsupported_claim,39,5,3,3,3,0.0769,2,3,0,0,1542,21120c20ecca,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-006-qianfan_deepseek_v4_pro-V4,LPB-CITE-006,qianfan_deepseek_v4_pro,V4,W2,0.8,True,unsupported_claim,35,22,21,21,2,0.0571,19,2,0,0,1540,eda3931d8d96,full output text and free-form judge reason omitted; raw output remains local/ignored
RUN-LPB-CITE-006-qianfan_qwen35_27b-V4,LPB-CITE-006,qianfan_qwen35_27b,V4,W2,0.88,False,unsupported_claim,33,16,12,15,2,0.0606,8,2,0,0,1554,f70bd4e9a9d2,full output text and free-form judge reason omitted; raw output remains local/ignored
